m,soiltype,soiltype_name,n,coh_median
0.0,0,Acrisols,105,0.0
0.0,3,Andosols,9535,0.0
0.0,6,Cambisols,9861,0.0
0.0,10,Ferralsols,46,0.0
0.25,0,Acrisols,105,0.0
0.25,3,Andosols,9535,0.0
0.25,6,Cambisols,9861,0.0
0.25,10,Ferralsols,46,0.020556621253490448
0.5,0,Acrisols,105,0.18945227563381195
0.5,3,Andosols,9535,0.0
0.5,6,Cambisols,9861,0.0
0.5,10,Ferralsols,46,0.07443520426750183
0.75,0,Acrisols,105,0.0
0.75,3,Andosols,9535,0.0
0.75,6,Cambisols,9861,0.0
0.75,10,Ferralsols,46,0.0
1.0,0,Acrisols,105,0.00016692766803316772
1.0,3,Andosols,9535,0.0
1.0,6,Cambisols,9861,0.0
1.0,10,Ferralsols,46,0.1415577530860901
